species	160	98	H1_4WK	H2_4WK	H3_4WK	H4_4WK	H5_4WK	H6_4WK	L1_4WK	L2_4WK	L3_4WK	L4_4WK	L5_4WK	L6_4WK
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella_intestinihominis	1480	1	639	505	724	459	536	450	28713	25755	23509	27169	42490	36967
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella_viscericola	55	252	24327	38520	28877	15141	31768	28124	102	89	233	178	219	135
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__Coprobacter_fastidiosus	5198	160	109	114	119	85	22929	19798	1896	1917	1630	2325	1116	2112
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__Coprobacter_secundus	31	6	1642	1588	1566	1176	1127	1131	170	136	156	133	140	133
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Dysgonamonadaceae;g__Dysgonomonas;s__Dysgonomonas_mossii	0	0	0	0	0	3	2	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Dysgonamonadaceae;g__Dysgonomonas;s__Dysgonomonas_sp._HGC4	0	0	0	0	0	0	0	0	1	0	2	1	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_synergistica	2	0	0	0	0	0	0	0	11	12	12	9	7	13
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_virosa	90	0	14	17	10	17	15	39	772	567	648	606	527	712
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_laneus	19	13	6945	6947	7297	5681	6067	5055	244	186	196	155	137	237
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	11219	9	753	820	874	531	560	547	4562	3523	6007	4868	4920	4770
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__Porphyromonadaceae_bacterium_COT-184_OH4590	1	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Fermentimonas;s__Fermentimonas_caenicola	1	0	0	0	0	0	0	0	1	0	0	1	5	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica	65	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_bennonis	7	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_canoris	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_crevioricanis	12	0	0	0	0	0	0	0	657	559	714	453	267	608
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_gingivalis	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_levii	16	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_macacae	0	0	0	0	0	0	0	0	0	0	0	0	0	4
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_somerae	325	0	1	0	0	0	0	4	26	40	69	168	162	47
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_sp._COT-239_OH1446	267	2	168	153	145	96	91	81	339	318	403	313	317	306
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Sanguibacteroides;s__Sanguibacteroides_justesenii	101	0	259	238	334	227	310	256	5	4	12	9	38	8
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__Alloprevotella_rava	2	0	0	0	1	1	0	0	0	0	2	1	0	1
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__Alloprevotella_tannerae	18	0	37	34	11	34	30	37	26	26	37	29	22	24
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila	126	1060	618	583	576	466	436	486	7729	8327	12202	10185	8997	11034
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_albensis	0	1569	0	0	0	0	0	0	468	588	644	535	443	527
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_amnii	33	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_aurantiaca	1	0	0	2	0	0	0	0	1	8	1	4	1	2
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_baroniae	0	90	118	135	106	87	99	105	0	0	0	0	0	4
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bergensis	85	51	0	0	0	0	0	0	616	773	613	695	697	711
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia	10	299	0	1	0	0	0	0	90	111	195	99	121	134
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii	0	224	0	0	0	0	0	0	438	511	628	419	467	528
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_buccalis	257	78	9776	9235	10516	6607	6558	6040	1504	1422	1973	1349	1403	1423
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	4	919839	2	3	0	4	4	6	378533	420026	524104	374279	371907	492398
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_corporis	1620	0	0	0	0	0	1	0	734	584	1941	1503	1384	679
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_dentalis	0	88	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_disiens	58	0	1	0	0	0	1	4	125	99	128	91	47	75
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_enoeca	0	29	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_fusca	0	27	0	0	0	0	0	0	0	7	14	8	8	15
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_histicola	0	2	0	0	0	0	0	0	2	0	2	1	3	3
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia	0	0	6	7	7	5	9	8	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_marshii	0	0	0	0	0	0	0	0	1	0	0	2	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_melaninogenica	0	249	0	0	0	0	0	0	101	76	146	65	72	129
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_multiformis	0	64	0	0	0	0	0	0	137	158	172	136	161	180
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_multisaccharivorax	1	239	0	0	0	0	1	0	3	7	0	1	2	1
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_nanceiensis	537	30	0	0	0	0	0	0	530	544	762	710	731	557
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_nigrescens	0	0	0	0	0	0	0	0	0	0	1	2	0	4
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_pallens	2	0	0	0	0	0	0	0	10	4	12	10	11	2
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_saccharolytica	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_salivae	2	43	0	0	0	0	0	0	19	18	26	20	16	15
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_scopos	23	9	0	0	0	0	0	0	136	115	32	27	87	145
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._10(H)	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._109	391	46	9458	8776	10698	6487	7143	6045	674	597	871	700	753	706
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._HUN102	6	0	54	31	40	28	49	47	0	3	2	3	0	2
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._P4-76	55	823	141	122	175	146	166	129	913	1122	978	974	1001	885
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._S7-1-8	18	302	0	0	0	0	0	0	183	186	268	116	119	186
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._S7_MS_2	105	0	0	0	0	0	0	1	82	47	17	12	35	55
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_stercorea	227	792	29	30	16	24	1023	863	7502	7633	10667	7792	6590	8502
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis	252	4	49	33	42	28	31	29	93	83	99	85	67	73
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	3602	57	736	766	810	622	635	488	9488	6266	10315	5511	8066	11048
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii	6043	0	0	0	0	0	0	0	1151	595	851	524	2208	1407
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_indistinctus	5	0	0	0	0	0	0	0	2284	1470	2699	1577	5531	2355
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_inops	43	0	0	0	0	0	0	0	7	5	9	4	5	12
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	1763	4	12949	13989	13268	8985	10140	9390	1833	1247	2380	1359	4469	2598
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	45149	0	0	0	0	1	3	0	5160	4093	9566	7172	9144	7066
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_senegalensis	1523	2	0	0	0	0	0	0	825	567	1003	599	1630	1176
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	27939	3	1275	1182	1076	1127	1336	1232	2619	1910	2267	1482	4959	3507
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_timonensis	215	0	0	0	0	0	0	0	44	45	63	42	74	54
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella_microfusus	4	0	0	0	0	0	0	1	32	28	40	19	23	24
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis	27734	1288	802249	807468	761800	712413	697810	649903	41436	38625	58770	47859	59707	42806
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_goldsteinii	138	6	120	126	90	99	89	97	288	273	388	347	422	350
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_johnsonii	1224	160	7179	6922	6394	6232	7801	7515	3530	3374	3664	3001	3053	3227
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella_forsythia	28	0	0	0	0	0	0	0	0	0	1	0	0	1
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__Thermophagus;s__Thermophagus_xiamenensis	2	0	0	0	0	0	0	0	0	1	0	0	5	1
k__Bacteria;p__Bacteroidete;c__Cytophagia;o__Cytophagales;f__Bernardetiaceae;g__Bernardetia;s__Bernardetia_litoralis	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__Hymenobacter_aerophilus	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Cytophagia;o__Cytophagales;f__Microscillaceae;g__Eisenibacter;s__Eisenibacter_elegans	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__Fluviicola_taffensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_granulosa	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga_sp._oral_taxon_329	0	0	0	0	0	0	0	0	4	6	10	11	13	18
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Chryseobacterium;s__Chryseobacterium_gallinarum	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Empedobacter;s__Empedobacter_brevis	2	0	60	43	31	45	30	37	0	0	0	1	1	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium_johnsoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella_sp._Hel_I_48	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides_injenensis	0	0	0	0	0	0	0	0	0	0	0	0	2	0
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Ornithobacterium;s__Ornithobacterium_rhinotracheale	0	0	0	0	0	0	0	0	0	0	4	1	0	1
k__Bacteria;p__Bacteroidete;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Riemerella;s__Riemerella_columbina	0	0	0	0	0	0	1	0	1	1	0	1	0	0
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiale;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia_suis	26	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__;o__;f__;g__;s__Firmicutes_bacterium_ASF500	25	1	0	0	0	0	0	0	18	13	21	13	12	18
k__Bacteria;p__Firmicute;c__;o__;f__;g__;s__Firmicutes_bacterium_M10-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__;g__Gemella;s__Gemella_bergeri	0	0	0	0	0	0	0	0	0	3	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__;g__Gemella;s__Gemella_haemolysans	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__Tumebacillus_flagellatus	0	2	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_acidiproducens	3	0	0	0	0	0	0	0	1	0	9	4	6	2
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_andreraoultii	0	0	0	0	0	0	0	0	1	4	10	9	4	3
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_aurantiacus	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_azotoformans	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_bogoriensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_oryziterrae	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_rubiinfantis	13	0	0	0	0	0	0	0	3	0	6	3	2	1
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_thermoamylovorans	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_thuringiensis	0	0	0	2	0	0	0	2	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus_thermodenitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus;s__Lysinibacillus_fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	22	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus;s__Oceanobacillus_caeni	0	0	0	0	0	0	0	0	0	1	0	0	0	1
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pontibacillus;s__Pontibacillus_litoralis	42	0	0	0	0	0	1	0	173	137	202	146	184	146
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Virgibacillus;s__Virgibacillus_halodenitrificans	0	0	0	0	0	0	0	0	0	3	0	1	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Virgibacillus;s__Virgibacillus_soli	0	0	0	0	0	0	0	0	29	33	40	28	25	26
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria_grayi	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Aneurinibacillus;s__Aneurinibacillus_sp._XH2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_pabuli	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_polymyxa	0	0	0	0	0	0	0	0	0	2	1	1	1	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Thermobacillus;s__Thermobacillus_composti	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Nosocomiicoccus;s__Nosocomiicoccus_massiliensis	0	0	0	0	0	0	0	0	0	2	6	2	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_arlettae	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_aureus	33	0	0	0	0	0	0	0	40	53	109	92	77	27
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_auricularis	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_capitis	0	0	0	2	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_cohnii	0	0	0	0	0	0	0	0	0	1	1	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis	0	0	2	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_equorum	1	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_pseudintermedius	0	0	0	1	0	0	0	0	0	0	10	5	5	4
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_schleiferi	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_simulans	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__Abiotrophia_defectiva	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia;s__Facklamia_languida	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Allofustis;s__Allofustis_seminis	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopococcus;s__Atopococcus_tabaci	0	0	0	0	0	0	0	0	0	0	0	1	2	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_gallinarum	0	0	0	0	2	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_maltaromaticum	0	0	0	0	0	0	0	0	0	4	1	6	6	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Bavariicoccus;s__Bavariicoccus_seileri	0	0	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_asini	0	0	0	0	1	1	0	0	0	0	0	0	0	1
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_avium	0	0	1	0	0	3	1	0	1	3	2	2	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_casseliflavus	0	0	0	0	0	0	0	0	1	1	3	4	6	3
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_cecorum	2	0	0	0	0	0	0	0	0	1	0	1	0	0
k__Bacteria;p__Firmicute;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_dispar	0	6	2	2	7	3	7	7	0	0	0	0	0	0
