species	160	98	H1_4WK	H2_4WK	H3_4WK	H4_4WK	H5_4WK	H6_4WK	L1_4WK	L2_4WK	L3_4WK	L4_4WK	L5_4WK	L6_4WK
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_dentium	705	990	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_gallicum	0	39	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_gallinarum	0	151	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	716	170105	4	1	1	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_magnum	0	2	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_minimum	0	3	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pseudolongum	0	0	7	3	3	4	4	9	0	2	11	3	2	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_reuteri	1	3234	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_saguini	0	404	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_scardovii	0	77	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_stellenboschense	2	11	0	0	0	0	0	0	0	0	3	1	5	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_subtile	0	30	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_thermophilum	0	40	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	13	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia_denticolens	16	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriale;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia_wiggsiae	23	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_durum	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_kroppenstedtii	0	0	2	0	0	0	0	0	0	0	0	0	1	3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_marinum	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_matruchotii	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_chelonae	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_fortuitum	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_parascrofulaceum	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriale;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus_erythropolis	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilale;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter_caceresii	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium_ravenspurgense	0	0	0	0	0	0	0	0	0	0	9	9	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium_senegalense	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_carbonis	0	3983	0	0	0	0	10	6	3348	4043	4705	3413	3185	4446
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_flavigena	6	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Intrasporangiaceae;g__Tetrasphaera;s__Tetrasphaera_japonica	0	3	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Microbacteriaceae;g__Frigoribacterium;s__Frigoribacterium_sp._Leaf254	5	0	0	0	0	0	2	0	0	0	3	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter_arilaitensis	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Micrococcaceae;g__Micrococcus;s__Micrococcus_luteus	3	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Micrococcaceae;g__Rothia;s__Rothia_dentocariosa	55	2	0	0	0	0	0	0	4	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcale;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa	19	802	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Nocardioidaceae;g__Marmoricola;s__Marmoricola_sp._Leaf446	2	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes	272	16	10	8	2	0	29	11	0	0	7	2	6	5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_avidum	8	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_granulosum	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Cutibacterium;s__[Propionibacterium]_humerusii	1	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Cutibacterium;s__[Propionibacterium]_namnetense	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriale;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_acidifaciens	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Peudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora_erythraea	0	1	0	0	0	0	0	0	0	0	0	0	0	0
